Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Training Stress ScoreÂ®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp
Elliptical,2/14/2020 16:49,FALSE,Elliptical,0,201,0:22:14,120,136,1.7,16,150,--,--,--,--,0,0,0,--,0,0,0,22:14,0:00,73.4,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,2/13/2020 16:17,FALSE,Treadmill Running,5.86,738,1:00:21,143,167,3.9,170,186,10:18,7:36,--,--,0.92,0,0,--,0,0,0,1:00:21,0:00,73.4,0:00,No,07:40.9,6,0,--,--,--
Elliptical,2/12/2020 17:15,FALSE,Elliptical,0,148,0:17:05,116,137,1.4,47,136,--,--,--,--,0,0,0,--,0,0,0,17:05,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Treadmill Running,2/11/2020 16:32,FALSE,Treadmill Running,1.6,233,0:30:32,113,137,1.2,148,170,19:06,13:26,--,--,0.57,0,0,--,0,0,0,30:32:00,0:00,77,0:00,No,11:46.7,2,0,--,--,--
Elliptical,2/10/2020 16:37,FALSE,Elliptical,0,111,0:10:08,129,142,1.7,3,108,--,--,--,--,0,0,0,--,0,0,0,10:08,0:00,78.8,0:00,No,00:00.0,1,0,--,--,--
Running,2/8/2020 6:31,FALSE,Maricopa County Running,26.22,"2,564",4:22:19,146,172,5,161,192,10:00,7:50,266,"1,142",0.99,0,0,--,0,0,0,4:22:19,0:00,53.6,0:00,No,02:15.9,27,0,--,--,--
Running,2/2/2020 7:38,FALSE,San Diego Running,6.2,667,0:50:40,152,165,3.9,171,185,8:11,7:35,46,56,1.15,0,0,--,0,0,0,50:40:00,0:00,59,0:00,No,01:32.9,7,0,--,--,--
Treadmill Running,1/30/2020 15:43,FALSE,Treadmill Running,3.05,366,0:30:13,141,161,3.1,170,180,9:54,7:41,--,--,0.96,0,0,--,0,0,0,30:13:00,0:00,75.2,0:00,No,00:28.0,4,0,--,--,--
Elliptical,1/27/2020 13:51,FALSE,Elliptical,0,356,0:30:32,140,158,3,50,141,--,--,--,--,0,0,0,--,0,0,0,30:32:00,0:00,80.6,0:00,No,00:00.0,1,0,--,--,--
Running,1/26/2020 17:05,FALSE,Santee Running,4.39,460,0:36:30,145,160,3.3,172,182,8:18,7:05,302,308,1.13,0,0,--,0,0,0,36:30:00,0:00,62.6,0:00,No,03:11.3,5,0,--,--,--
