id,type,type_m,x_gear_name,start_date_local,x_start_h,name,x_min,x_km,x_min/km,km/h,x_max_km/h,x_mi,x_min/mi,x_mph,x_max_mph,total_elevation_gain,x_elev_m/km,average_heartrate,max_heartrate,average_cadence,average_watts,kilojoules,commute,private,visibility,workout_type,x_nearest_city_start,x_start_locality,x_end_locality,x_dist_start_end_km,start_latlng,end_latlng,elev_low,elev_high,kudos_count,comment_count,achievement_count,athlete,athlete_count,average_speed,average_temp,display_hide_heartrate_option,distance,elapsed_time,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,location_city,location_country,location_state,manual,map,max_speed,moving_time,photo_count,pr_count,resource_state,start_date,start_latitude,start_longitude,timezone,total_photo_count,trainer,upload_id,upload_id_str,utc_offset,x_date,x_elev_%,x_url
1705711626,Run,Run,,15.07.2018,6,Morning Run,300.1,42.241,7.1,8.45,12.24,26.247,11.43,5.25,7.61,122,2.89,151.7,191,82.7,,,0,0,everyone,,NA-US-MT-Frenchtown,,,24,"[47.014578, -114.229531]","[46.869381, -113.995802]",928,994.6,2,0,0,{id},1,2.346,,1,42240.7,18136,garmin_push_2855150518,0,0,,1,0,0,,,,0,{id},3.4,18009,0,0,2,15.07.2018 12:01:01,47.014578,-114.229531,(GMT-07:00) America/Denver,0,0,1830597280,1830597280,-21600,7/15/2018,0.29,https://www.strava.com/activities/1705711626
1137721293,Run,Run,,15.08.2017,6.7,Morning Run,85.8,16.097,5.33,11.26,15.48,10.002,8.58,6.99,9.62,135.9,8.44,133.7,172,84.5,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853578, -116.960565]","[32.853648, -116.9606]",106,201.5,0,0,6,{id},1,3.127,,1,16096.9,5279,garmin_push_1921068654,0,0,,1,0,0,,,,0,{id},4.3,5147,0,1,2,15.08.2017 13:42:00,32.853578,-116.960565,(GMT-08:00) America/Los_Angeles,0,0,1242715502,1242715502,-25200,8/15/2017,0.84,https://www.strava.com/activities/1137721293
1872018922,Run,Hike,,15.09.2018,7.5,Morning Run,5.6,0.549,10.26,5.85,8.28,0.341,16.51,3.64,5.14,0,,,,59.7,,,0,0,everyone,,AS-CN-NX-Yinchuan,,,0.3,"[38.481489, 106.247439]","[38.483275, 106.244316]",1112,1115,0,0,0,{id},1,1.625,,0,549.1,483,garmin_push_3050437046,0,0,,0,0,0,,,,0,{id},2.3,338,0,0,2,14.09.2018 23:30:32,38.481489,106.247439,(GMT+08:00) Asia/Shanghai,0,0,2005350136,2005350136,28800,9/15/2018,,https://www.strava.com/activities/1872018922
2713749956,Run,Run,,15.09.2019,18,Evening Run,0.6,0.767,0.74,81.22,3.24,0.477,1.19,50.47,2.01,0,,80.6,151,0,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.85331, -116.960384]","[32.853473, -116.960589]",115.8,117.2,0,0,0,{id},1,22.562,,1,767.1,2921,garmin_push_4064716356,0,0,,1,0,0,,,,0,{id},0.9,34,0,0,2,16.09.2019 01:02:49,32.85331,-116.960384,(GMT-08:00) America/Los_Angeles,0,0,2877001137,2877001137,-25200,9/15/2019,,https://www.strava.com/activities/2713749956
2877877761,Run,Run,,15.11.2019,14.4,Afternoon Run,64.9,11.968,5.42,11.07,13.32,7.436,8.72,6.88,8.28,0,,,,83.5,,,0,0,everyone,,,,,,,,,,0,0,0,{id},1,3.075,,0,11967.7,3892,garmin_push_4268101451,0,0,,0,0,0,,,,0,{id},3.7,3892,0,0,2,15.11.2019 22:22:57,,,(GMT-08:00) America/Los_Angeles,0,1,3055046826,3055046826,-28800,11/15/2019,,https://www.strava.com/activities/2877877761
1361055269,Run,Run,,16.01.2018,18.8,Evening Run,16.9,3.632,4.65,12.89,15.12,2.257,7.49,8.01,9.4,4.1,1.13,,,89.1,,,0,0,everyone,,NA-US-CA-Coronado,,,0,"[32.720696, -117.149868]","[32.7203, -117.150056]",40.7,45.9,2,0,0,{id},46,3.581,,0,3631.6,2068,garmin_push_2439715198,0,0,,0,0,0,,,,0,{id},4.2,1014,0,0,2,17.01.2018 02:47:05,32.720696,-117.149868,(GMT-08:00) America/Los_Angeles,0,0,1470049246,1470049246,-28800,1/16/2018,0.11,https://www.strava.com/activities/1361055269
3017933340,Run,Run,,16.01.2020,15.5,Afternoon Run,46.2,6.52,7.09,8.47,9.36,4.052,11.4,5.26,5.82,0,,135.7,149,80.2,,,0,0,everyone,,,,,,,,85,90.6,0,0,0,{id},1,2.352,26,1,6520.3,2772,garmin_push_4445877401,0,0,,1,0,0,,,,0,{id},2.6,2772,0,0,2,16.01.2020 23:30:05,,,(GMT-08:00) America/Los_Angeles,0,1,3218367601,3218367601,-28800,1/16/2020,,https://www.strava.com/activities/3017933340
869624487,Run,Run,,16.02.2017,6.7,Morning Run,34.5,6.662,5.18,11.58,16.56,4.14,8.34,7.2,10.29,57.8,8.68,,,85.6,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853648, -116.960484]","[32.853639, -116.960535]",109.9,161.5,0,0,1,{id},1,3.217,,0,6662.4,2071,garmin_push_1577919043,0,0,,0,0,0,,,,0,{id},4.6,2071,0,1,2,16.02.2017 14:41:14,32.853648,-116.960484,(GMT-08:00) America/Los_Angeles,0,0,962308108,962308108,-28800,2/16/2017,0.87,https://www.strava.com/activities/869624487
903226025,Run,Run,,16.03.2017,19.1,Evening Run,40.7,8.197,4.97,12.08,15.48,5.093,7.99,7.5,9.62,79.2,9.66,141,173,86,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853562, -116.960608]","[32.853734, -116.960498]",111.1,161,0,0,7,{id},1,3.355,,1,8196.9,2443,garmin_push_1624704254,0,0,,1,0,0,,,,0,{id},4.3,2443,0,2,2,17.03.2017 02:08:14,32.853562,-116.960608,(GMT-08:00) America/Los_Angeles,0,0,1002287401,1002287401,-25200,3/16/2017,0.97,https://www.strava.com/activities/903226025
1522779093,Run,Run,,16.04.2018,19,Evening Run,43.6,8.131,5.36,11.19,14.04,5.053,8.63,6.95,8.72,14.6,1.8,129.7,149,86.1,,,0,0,everyone,,NA-US-CA-La Jolla,,,0,"[32.788519, -117.209046]","[32.788611, -117.209148]",1.5,7.1,0,0,6,{id},1,3.107,,1,8131.3,2750,garmin_push_2641131195,0,0,,1,0,0,,,,0,{id},3.9,2617,0,1,2,17.04.2018 01:58:42,32.788519,-117.209046,(GMT-08:00) America/Los_Angeles,0,0,1639160341,1639160341,-25200,4/16/2018,0.18,https://www.strava.com/activities/1522779093
